00:00;17.3;68.70
00:15;17.3;68.60
00:30;17.2;67.40
00:45;17.4;67.40
01:00;17.4;66.80
01:15;17.3;67.70
01:30;17.4;67.40
01:45;17.4;67.40
02:00;17.5;66.70
02:15;17.4;67.20
02:30;17.4;65.90
02:45;17.3;66.70
03:00;17.5;65.80
03:15;17.4;66.20
03:30;17.4;66.20
03:45;17.5;65.30
04:00;17.3;65.90
04:15;17.3;65.90
04:30;17.4;65.70
04:45;17.3;66.30
05:00;17.3;66.30
05:15;17.6;65.40
05:30;17.7;64.60
05:45;17.5;64.90
06:00;17.5;65.70
06:15;17.5;65.80
06:30;17.3;65.60
06:45;17.1;66.20
07:00;17.0;66.70
07:15;17.1;66.70
07:30;17.2;65.70
07:45;17.1;66.00
08:00;17.1;66.00
08:15;17.3;65.40
08:30;17.3;65.40
08:45;17.1;66.00
09:00;17.3;64.70
09:15;17.0;65.20
09:30;17.1;65.50
09:45;16.9;65.80
10:00;17.4;64.80
10:15;17.3;65.90
10:30;17.3;66.10
10:45;17.3;66.80
11:00;17.5;66.40
11:15;17.3;67.20
11:30;17.5;66.60
11:45;17.7;66.90
12:00;17.6;67.40
12:15;17.7;67.70
12:30;17.5;65.20
12:45;17.9;65.50
13:00;17.5;65.80
13:15;17.7;64.80
13:30;18.2;65.90
13:45;18.4;66.10
14:00;18.1;66.80
14:15;18.3;66.40
14:30;18.4;67.20
14:45;18.0;66.00
15:00;17.7;65.80
15:15;17.5;65.70
15:30;17.6;65.50
15:45;17.6;65.20
16:00;17.5;65.60
16:15;17.4;65.40
16:30;17.2;65.20
16:45;17.5;65.60
17:00;17.4;65.70
17:15;17.5;66.20
17:30;17.5;66.00
17:45;17.6;66.10
18:00;17.4;66.80
18:15;17.5;66.40
18:30;17.4;65.90
18:45;17.3;66.80
19:00;17.2;66.40
19:15;17.2;66.80
19:30;17.1;67.40
19:45;17.3;65.90
20:00;17.2;66.80
20:15;17.2;66.40
20:30;17.3;67.20
20:45;17.4;67.40
21:00;17.5;68.70
21:15;17.3;68.60
21:30;17.4;67.40
21:45;17.3;67.40
22:00;17.3;66.80
22:15;17.2;67.70
22:30;17.4;67.40
22:45;17.4;67.40
23:00;17.3;66.70
23:15;17.4;67.20
23:30;17.2;67.3
23:45;17.5;67.40
